school,division
Ada Forest Hills Eastern,3
Adrian,3
Allegan,4
Allen Park,2
Alma,3
Almont,4
Alpena,2
Ann Arbor Father Gabriel Richard,4
Ann Arbor Greenhills,3
Ann Arbor Huron,1
Ann Arbor Pioneer,1
Ann Arbor Skyline,1
Armada,4
Auburn Hills Avondale,3
Battle Creek Central,2
Battle Creek Harper Creek,3
Battle Creek Lakeview,2
Battle Creek Pennfield,4
Bay City Central,3
Bay City John Glenn,3
Bay City Western,2
Belleville,1
Berkley,2
Berrien Springs,4
Big Rapids,3
Birmingham Groves,2
Birmingham Seaholm,2
Bloomfield Hills,1
Bloomfield Hills Brother Rice,1
Bloomfield Hills Cranbrook Kingswood,3
Boyne City,4
Brighton,1
Bronson,4
Brooklyn Columbia Central,4
Brownstown Woodhaven,1
Buchanan,4
Byron Center,2
Cadillac,3
Caledonia,1
Canton,1
Carleton Airport,2
Caro,3
Cedar Springs,3
Charlotte,4
Chelsea,3
Chesaning,4
Clarkston,1
Clawson,4
Clinton Township Chippewa Valley,1
Clio,4
Coldwater,3
Comstock Park,4
Coopersville,3
Croswell-Lexington,4
Davison,1
Dearborn,1
Dearborn Divine Child,2
Dearborn Edsel Ford,1
Dearborn Fordson,1
Dearborn Heights Crestwood,2
Detroit Catholic Central,1
Detroit Country Day,3
Detroit U-D Jesuit,2
Dewitt,3
Dexter,2
East Grand Rapids,3
East Kentwood,1
East Lansing,2
Eaton Rapids,4
Edwardsburg,3
Elk Rapids,4
Essexville Garber,4
Farmington,1
Fenton,3
Ferndale,2
Flint Kearsley,3
Flint Powers Catholic,4
Flushing,2
Fowlerville,3
Frankenmuth,4
Fraser,1
Fruitport,3
Garden City,3
Gibraltar Carlson,2
Goodrich,4
Grand Blanc,1
Grand Haven,1
Grand Ledge,1
Grand Rapids Catholic Central,4
Grand Rapids Christian,3
Grand Rapids Forest Hills Central,2
Grand Rapids Forest Hills Northern,2
Grand Rapids Kenowa Hills,3
Grand Rapids NorthPointe Christian,4
Grand Rapids Northview,2
Grand Rapids Ottawa Hills,2
Grand Rapids South Christian,3
Grand Rapids Union,1
Grand Rapids West Catholic,4
Grandville,1
Grandville Calvin Christian,4
Grant,4
Greenville,2
Grosse Ile,4
Grosse Pointe North,2
Grosse Pointe South,2
Grosse Pointe Woods University Liggett,4
Hamilton,3
Hamtramck,2
Harbor Springs,4
Harrison Township L'ANSE CREUSE,2
Hartland,1
Haslett,3
Hemlock,4
Hillsdale,4
Holland,3
Holland Christian,3
Holland West Ottawa,1
Holly,3
Holt,1
Howell,1
Hudsonville,1
Hudsonville Unity Christian,3
Imlay City,4
Ionia,3
Jackson,2
Jackson Lumen Christi,4
Jackson Northwests,3
Jenison,1
Kalamazoo Central,1
Kalamazoo Christian,4
Kalamazoo Hackett Catholic Prep,4
Kalamazoo Loy Norrix,1
Lake Fenton/Linden,1
Lake Odessa Lakewood,4
Lake Orion,1
Lansing Catholic,4
Lansing Christian School,4
Lansing Eastern,1
Lansing Waverly,3
Lapeer,1
Lincoln Park,2
Livonia Churchill,2
Livonia Franklin,2
Livonia Stevenson,1
Lowell,2
Ludington,3
Macomb Dakota,1
Macomb L'Anse Creuse North,1
Madison Heights Lamphere,3
Maple City Glen Lake,4
Marine City,4
Marshall,3
Marysville,3
Mason,3
Mattawan,2
Middleville Thornapple Kellogg,3
Midland,2
Midland Bullock Creek,4
Midland Dow,2
Milan,3
Milford,2
Monroe,1
Monroe St Mary Catholic Central,4
Mount Pleasant,2
Muskegon Mona Shores,2
Muskegon Reeths-Puffer,2
Muskegon Western Michigan Christian,4
New Baltimore Anchor Bay,1
New Buffalo / Bridgman / Lake Michigan Catholic (LMC),4
Niles,3
Niles Brandywine,4
North Farmington,2
North Muskegon,4
Northville,1
Novi,1
Okemos,1
Ortonville Brandon,4
Otsego,3
Ovid-Elsie,4
Owosso,3
Oxford,1
Parma Western,3
Paw Paw,4
Petoskey,3
Pinckney,4
Plainwell,3
Plymouth,1
Plymouth Christian Academy,4
Pontiac Notre Dame Prep,4
Port Huron Northern,1
Portage Central,2
Portage Northern,2
Portland,4
Redford Thurston,2
Richland Gull Lake,3
Richmond,4
Riverview,3
Riverview Gabriel Richard,2
Rochester,1
Rochester Adams,1
Rochester Hills Stoney Creek,1
Rockford,1
Romeo,1
Royal Oak,2
Saginaw Heritage,1
Saginaw Nouvel Catholic Central,4
Salem,1
Saline,1
Sandusky,4
South Haven,4
South Lyon,2
South Lyon East,2
Southgate Anderson,2
Sparta,3
Spring Lake,3
St Clair Shores Lakeview,2
St. Clair,3
St. Johns,3
St. Joseph,3
Sterling Heights,2
Sterling Heights Stevenson,1
Stevensville Lakeshore,3
Sturgis,3
Tecumseh,3
Temperance Bedford,2
Three Rivers,4
Traverse City Central,2
Traverse City St Francis,4
Traverse City West,2
Trenton,3
Troy,1
Troy Athens,1
Utica,1
Utica Eisenhower,1
Utica Ford,1
Vicksburg,3
Walled Lake Central,2
Walled Lake Northern,1
Walled Lake Western,2
Warren Cousino,2
Warren De La Salle Collegiate,2
Warren Mott,2
Warren Woods Tower,2
Waterford United,1
Wayland,3
West Bloomfield,1
West Bloomfield FJA,4
White Lake Lakeland,2
Whitehall,4
Williamston,4
Wyandotte Roosevelt,2
Wyoming,2
Wyoming Kelloggsville,4
Yale,4
Ypsilanti,3
Ypsilanti Lincoln,2
Zeeland East,3
Zeeland West,2
